,County,Age,Gender,Monthly Income,Highest Level of Education Attained,Occupation,Location,Did you vote in 2017,Will you vote in the Refere,If No Why,How will you vote in the Referendum,If elections are today who would you vote for,If you dont vote for that one who is your second choice,Do you support BBI,Do you know what BBI wants to change,Do you support the Hustler Nation,Do you think the handshake brought us peace,Who influences youin your community,Do you trust your political leaders,Do you trust your religious leaders,Do you trust your elders,Where do you get your News from,Have you understood BBI completely,Will you vote in 2022,Monthly Income (Kshs)
20,trans_nzoia,31-35,male,"20,001-50,000",certificate,hustler,urban,no,yes,,still_deciding,musalia_mudavadi,musalia_mudavadi,no,yes,no,yes,church_leaders,always,always,always,tv,yes,yes,"20,001-50,000"
21,kisii,36-40,male,"0-11,000",kcse,hustler,rural,yes,yes,,yes__for_it,william_ruto,william_ruto,no,no,yes,yes,church_leaders,never,always,always,radio,no,yes,"0-11,000"
22,narok,25-30,male,"11,001-20,000",none,transport__matatu__lorry_boda_,peri_urban,no,yes,,yes__for_it,raila_odinga,william_ruto,yes,no,yes,yes,my_friends,always,always,always,tv,no,yes,"11,001-20,000"
23,uasin_gishu,25-30,male,"11,001-20,000",kcse,business_owner__hotel_shop_kio,urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,raila_odinga,none,no,no,no,yes,my_friends,rarely,rarely,sometimes,tv,no,yes,"11,001-20,000"
24,trans_nzoia,31-35,female,"0-11,000",kcse,informal_employment__jua_kali_,rural,yes,yes,,yes__for_it,raila_odinga,gideon_moi,yes,yes,no,yes,mcas,rarely,always,sometimes,tv,no,yes,"0-11,000"
25,kisumu,31-35,female,"20,001-50,000",kcse,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,none,none,no,no,no,yes,no_one,never,always,never,radio,no,yes,"20,001-50,000"
26,uasin_gishu,51-60,male,"0-11,000",kcse,unemployed,rural,no,undecided,,still_deciding,william_ruto,none,thinking_about_it,no,yes,yes,mcas,sometimes,sometimes,sometimes,tv,no,yes,"0-11,000"
27,trans_nzoia,41-50,male,"0-11,000",none,subsistence_farmer_subsistence,rural,yes,yes,,still_deciding,raila_odinga,none,no,no,not_sure,yes,no_one,always,always,always,radio,no,yes,"0-11,000"
28,uasin_gishu,31-35,female,"0-11,000",kcse,hustler,rural,yes,undecided,,still_deciding,william_ruto,gideon_moi,no,no,yes,no,church_leaders,sometimes,always,always,radio,no,yes,"0-11,000"
29,uasin_gishu,41-50,male,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,william_ruto,raila_odinga,thinking_about_it,no,yes,yes,elders,rarely,sometimes,sometimes,radio,no,yes,"0-11,000"
30,uasin_gishu,41-50,male,"11,001-20,000",diploma,transport__matatu__lorry_boda_,urban,yes,undecided,,still_deciding,raila_odinga,william_ruto,thinking_about_it,a_little,not_sure,yes,mp,sometimes,never,sometimes,tv,no,yes,"11,001-20,000"
31,machakos,25-30,male,"20,001-50,000",kcse,transport__matatu__lorry_boda_,urban,yes,yes,,yes__for_it,william_ruto,kalonzo_musyoka,no,no,no,yes,mp,always,always,never,tv,no,yes,"20,001-50,000"
32,uasin_gishu,25-30,female,"0-11,000",kcse,unemployed,rural,yes,undecided,,still_deciding,william_ruto,raila_odinga,thinking_about_it,no,yes,no,church_leaders,rarely,often,sometimes,radio,no,response,"0-11,000"
33,embu,25-30,female,"20,001-50,000",diploma,business_owner__hotel_shop_kio,peri_urban,no,yes,,still_deciding,william_ruto,fred_matiangi,no,no,yes,no,my_friends,never,sometimes,sometimes,facebook,no,yes,"20,001-50,000"
34,uasin_gishu,18-24,male,"0-11,000",kcse,unemployed,rural,no,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,gideon_moi,don_t_care,no,yes,no,no_one,never,sometimes,sometimes,radio,no,undecided,"0-11,000"
35,uasin_gishu,18-24,female,"0-11,000",undergraduate,informal_employment__jua_kali_,urban,yes,undecided,,i_will_not_vote,raila_odinga,william_ruto,no,no,no,yes,governor,sometimes,sometimes,sometimes,tv,no,yes,"0-11,000"
36,uasin_gishu,25-30,female,"11,001-20,000",undergraduate,hustler,urban,yes,yes,,still_deciding,raila_odinga,william_ruto,thinking_about_it,a_little,not_sure,yes,no_one,rarely,sometimes,sometimes,tv,no,yes,"11,001-20,000"
37,uasin_gishu,36-40,female,"11,001-20,000",diploma,business_owner__hotel_shop_kio,urban,yes,yes,,yes__for_it,raila_odinga,musalia_mudavadi,yes,a_little,yes,yes,mp,sometimes,sometimes,sometimes,tv,no,yes,"11,001-20,000"
38,uasin_gishu,31-35,male,"0-11,000",undergraduate,hustler,urban,yes,yes,,yes__for_it,raila_odinga,william_ruto,yes,no,yes,no,mp,sometimes,sometimes,sometimes,tv,no,yes,"0-11,000"
39,uasin_gishu,18-24,female,"0-11,000",undergraduate,unemployed,urban,no,undecided,,still_deciding,william_ruto,raila_odinga,thinking_about_it,a_little,yes,yes,governor,sometimes,sometimes,sometimes,tv,no,yes,"0-11,000"
40,uasin_gishu,25-30,female,"0-11,000",diploma,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,raila_odinga,peter_kenneth,thinking_about_it,a_little,not_sure,yes,mp,rarely,rarely,often,tv,no,yes,"0-11,000"
41,uasin_gishu,25-30,female,"11,001-20,000",undergraduate,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,raila_odinga,musalia_mudavadi,no,no,yes,no,mp,rarely,always,sometimes,tv,no,yes,"11,001-20,000"
42,embu,18-24,male,"0-11,000",kcpe,informal_employment__jua_kali_,peri_urban,no,no,i_am_not_interested,i_will_not_vote,raila_odinga,fred_matiangi,yes,a_little,no,yes,church_leaders,sometimes,always,always,tv,no,yes,"0-11,000"
43,trans_nzoia,31-35,male,"11,001-20,000",certificate,transport__matatu__lorry_boda_,urban,yes,yes,,yes__for_it,william_ruto,musalia_mudavadi,yes,a_little,yes,yes,governor,never,sometimes,often,radio,no,yes,"11,001-20,000"
44,uasin_gishu,over-61,male,"0-11,000",kcpe,unemployed,urban,yes,other,,still_deciding,raila_odinga,musalia_mudavadi,thinking_about_it,no,not_sure,yes,elders,sometimes,sometimes,often,radio,no,undecided,"0-11,000"
45,uasin_gishu,36-40,male,"0-11,000",kcse,hustler,urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,raila_odinga,musalia_mudavadi,no,no,no,yes,business_leaders,rarely,often,sometimes,tv,no,yes,"0-11,000"
46,uasin_gishu,over-61,female,"11,001-20,000",kcpe,subsistence_farmer_subsistence,urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,raila_odinga,musalia_mudavadi,don_t_care,no,i_do_not_know_about_it,no,church_leaders,sometimes,always,sometimes,radio,no,undecided,"11,001-20,000"
47,uasin_gishu,41-50,male,"50,001-100,000",undergraduate,business_owner__hotel_shop_kio,urban,yes,yes,,yes__for_it,raila_odinga,musalia_mudavadi,yes,yes,no,yes,business_leaders,rarely,sometimes,sometimes,tv,maybe,yes,"50,001-100,000"
48,uasin_gishu,25-30,female,"11,001-20,000",undergraduate,business_owner__hotel_shop_kio,urban,yes,no,i_am_not_interested,i_will_not_vote,raila_odinga,musalia_mudavadi,don_t_care,a_little,no_response,no,mp,sometimes,sometimes,sometimes,tv,no,yes,"11,001-20,000"
49,uasin_gishu,18-24,male,"0-11,000",diploma,hustler,urban,yes,undecided,,still_deciding,raila_odinga,musalia_mudavadi,thinking_about_it,a_little,yes,yes,mp,rarely,sometimes,sometimes,tv,no,yes,"0-11,000"
50,uasin_gishu,25-30,male,"11,001-20,000",undergraduate,informal_employment__jua_kali_,urban,yes,undecided,,still_deciding,raila_odinga,musalia_mudavadi,thinking_about_it,a_little,not_sure,yes,mp,sometimes,sometimes,sometimes,tv,no,yes,"11,001-20,000"
51,uasin_gishu,51-60,male,"20,001-50,000",undergraduate,formal_employment__teacher_acc,peri_urban,yes,no,the_referendum_will_cost_too_much,i_will_not_vote,musalia_mudavadi,none,no,yes,not_sure,yes,business_leaders,never,sometimes,often,newspapers,maybe,yes,"20,001-50,000"
52,uasin_gishu,51-60,male,"0-11,000",none,informal_employment__jua_kali_,peri_urban,yes,yes,,yes__for_it,none,none,no,a_little,yes,yes,no_one,rarely,often,often,radio,no,yes,"0-11,000"
53,uasin_gishu,25-30,male,"0-11,000",undergraduate,unemployed,urban,yes,undecided,,still_deciding,raila_odinga,william_ruto,thinking_about_it,a_little,yes,yes,my_friends,never,sometimes,sometimes,tv,no,yes,"0-11,000"
54,uasin_gishu,41-50,male,"0-11,000",kcse,transport__matatu__lorry_boda_,urban,yes,undecided,,still_deciding,william_ruto,none,thinking_about_it,a_little,yes,yes,chief,rarely,sometimes,sometimes,tv,no,yes,"0-11,000"
55,uasin_gishu,36-40,male,"20,001-50,000",undergraduate,formal_employment__teacher_acc,peri_urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,raila_odinga,no,no,yes,yes,governor,sometimes,sometimes,sometimes,tv,no,yes,"20,001-50,000"
56,uasin_gishu,31-35,male,"11,001-20,000",diploma,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,william_ruto,none,thinking_about_it,a_little,yes,yes,my_friends,rarely,rarely,sometimes,tv,no,yes,"11,001-20,000"
57,uasin_gishu,31-35,male,"20,001-50,000",diploma,formal_employment__teacher_acc,peri_urban,yes,undecided,,still_deciding,raila_odinga,william_ruto,thinking_about_it,no,yes,yes,my_friends,sometimes,sometimes,sometimes,tv,no,yes,"20,001-50,000"
58,uasin_gishu,25-30,male,"0-11,000",kcse,hustler,peri_urban,yes,yes,,yes__for_it,william_ruto,raila_odinga,no,no,yes,no,church_leaders,sometimes,sometimes,sometimes,tv,no,yes,"0-11,000"
59,uasin_gishu,36-40,male,"11,001-20,000",kcse,transport__matatu__lorry_boda_,peri_urban,yes,undecided,,still_deciding,william_ruto,none,thinking_about_it,no,yes,yes,no_one,sometimes,sometimes,rarely,tv,no,yes,"11,001-20,000"
60,uasin_gishu,36-40,male,"11,001-20,000",diploma,informal_employment__jua_kali_,peri_urban,yes,yes,,yes__for_it,raila_odinga,fred_matiangi,no,a_little,no,yes,mp,often,often,often,tv,no,yes,"11,001-20,000"
61,uasin_gishu,36-40,male,"11,001-20,000",diploma,transport__matatu__lorry_boda_,peri_urban,yes,undecided,,still_deciding,william_ruto,none,thinking_about_it,a_little,yes,no,my_friends,rarely,often,often,tv,no,yes,"11,001-20,000"
62,uasin_gishu,25-30,female,"11,001-20,000",diploma,informal_employment__jua_kali_,rural,yes,yes,,yes__for_it,raila_odinga,none,yes,a_little,not_sure,yes,governor,sometimes,often,sometimes,tv,no,yes,"11,001-20,000"
63,uasin_gishu,31-35,female,"11,001-20,000",certificate,informal_employment__jua_kali_,peri_urban,yes,yes,,yes__for_it,raila_odinga,musalia_mudavadi,yes,a_little,not_sure,yes,mp,sometimes,sometimes,sometimes,tv,yes,yes,"11,001-20,000"
64,uasin_gishu,41-50,male,"50,001-100,000",postgraduate,formal_employment__teacher_acc,urban,yes,yes,,yes__for_it,raila_odinga,william_ruto,yes,yes,no_response,yes,governor,rarely,sometimes,sometimes,tv,yes,yes,"50,001-100,000"
65,uasin_gishu,31-35,female,"11,001-20,000",undergraduate,informal_employment__jua_kali_,peri_urban,yes,yes,,yes__for_it,raila_odinga,william_ruto,yes,a_little,yes,yes,mp,rarely,sometimes,sometimes,tv,no,yes,"11,001-20,000"
66,uasin_gishu,51-60,female,"0-11,000",kcse,hustler,peri_urban,yes,undecided,,still_deciding,musalia_mudavadi,william_ruto,thinking_about_it,a_little,yes,yes,governor,sometimes,sometimes,rarely,tv,no,yes,"0-11,000"
67,uasin_gishu,36-40,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,musalia_mudavadi,william_ruto,no,no,yes,yes,church_leaders,never,often,sometimes,radio,no,yes,"11,001-20,000"
68,uasin_gishu,25-30,male,"0-11,000",undergraduate,hustler,urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,raila_odinga,william_ruto,no,a_little,yes,yes,mp,sometimes,sometimes,sometimes,tv,no,yes,"0-11,000"
69,uasin_gishu,25-30,female,"11,001-20,000",certificate,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,raila_odinga,musalia_mudavadi,thinking_about_it,a_little,yes,yes,mp,sometimes,sometimes,sometimes,tv,no,yes,"11,001-20,000"
70,uasin_gishu,25-30,female,"11,001-20,000",undergraduate,informal_employment__jua_kali_,urban,yes,no,the_referendum_will_cost_too_much,i_will_not_vote,raila_odinga,musalia_mudavadi,no,a_little,yes,yes,mp,sometimes,often,often,tv,no,yes,"11,001-20,000"
71,uasin_gishu,25-30,female,"0-11,000",diploma,business_owner__hotel_shop_kio,urban,yes,yes,,no__against_it,william_ruto,none,no,a_little,yes,no_response,church_leaders,never,sometimes,sometimes,tv,no,yes,"0-11,000"
72,uasin_gishu,over-61,male,"0-11,000",none,subsistence_farmer_subsistence,peri_urban,yes,undecided,,still_deciding,raila_odinga,musalia_mudavadi,no,a_little,yes,no,chief,never,sometimes,sometimes,radio,no,undecided,"0-11,000"
73,uasin_gishu,25-30,male,"11,001-20,000",undergraduate,hustler,urban,yes,no,i_am_not_interested,i_will_not_vote,raila_odinga,william_ruto,don_t_care,a_little,yes,yes,my_friends,never,sometimes,sometimes,tv,no,yes,"11,001-20,000"
74,uasin_gishu,18-24,male,"0-11,000",kcse,unemployed,urban,no,yes,,still_deciding,william_ruto,william_ruto,no,no,i_do_not_know_about_it,no,my_friends,never,often,often,facebook,no,yes,"0-11,000"
75,meru,36-40,female,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,yes,,still_deciding,musalia_mudavadi,william_ruto,no,no,not_sure,yes,church_leaders,sometimes,always,sometimes,tv,no,yes,"0-11,000"
76,trans_nzoia,51-60,female,"0-11,000",none,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,none,none,no,no,yes,yes,church_leaders,rarely,always,always,radio,no,yes,"0-11,000"
77,uasin_gishu,25-30,male,"11,001-20,000",diploma,transport__matatu__lorry_boda_,peri_urban,yes,undecided,,still_deciding,william_ruto,musalia_mudavadi,no,no,yes,yes,governor,sometimes,sometimes,sometimes,tv,no,yes,"11,001-20,000"
78,trans_nzoia,41-50,male,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,no,i_do_not_understand_bbi,i_will_not_vote,william_ruto,william_ruto,no,no,yes,yes,chief,always,always,always,tv,no,yes,"0-11,000"
79,embu,25-30,female,"11,001-20,000",diploma,business_owner__hotel_shop_kio,peri_urban,yes,yes,,still_deciding,raila_odinga,william_ruto,yes,a_little,no_response,yes,mp,sometimes,often,sometimes,facebook,maybe,undecided,"11,001-20,000"
80,uasin_gishu,25-30,male,"20,001-50,000",diploma,formal_employment__teacher_acc,urban,yes,undecided,,still_deciding,kalonzo_musyoka,raila_odinga,thinking_about_it,a_little,not_sure,yes,mp,rarely,sometimes,sometimes,tv,no,yes,"20,001-50,000"
81,uasin_gishu,25-30,male,"20,001-50,000",undergraduate,formal_employment__teacher_acc,urban,yes,no,i_do_not_understand_bbi,i_will_not_vote,musalia_mudavadi,raila_odinga,don_t_care,a_little,no,yes,governor,rarely,sometimes,sometimes,tv,no,yes,"20,001-50,000"
82,uasin_gishu,41-50,male,"0-11,000",none,unemployed,rural,yes,yes,,still_deciding,william_ruto,raila_odinga,thinking_about_it,no,yes,yes,mp,often,often,always,radio,no,yes,"0-11,000"
83,trans_nzoia,36-40,male,"0-11,000",kcpe,subsistence_farmer_subsistence,rural,yes,no,i_do_not_understand_bbi,still_deciding,musalia_mudavadi,musalia_mudavadi,no,no,no,yes,my_friends,never,always,always,facebook,no,yes,"0-11,000"
84,kirinyaga,31-35,male,"20,001-50,000",certificate,transport__matatu__lorry_boda_,urban,yes,no,i_do_not_understand_bbi,no__against_it,william_ruto,none,no,no,yes,yes,my_friends,rarely,always,always,tv,no,yes,"20,001-50,000"
85,uasin_gishu,36-40,female,"0-11,000",kcpe,hustler,peri_urban,yes,undecided,,still_deciding,raila_odinga,none,thinking_about_it,no,not_sure,yes,elders,rarely,sometimes,sometimes,radio,no,yes,"0-11,000"
86,uasin_gishu,41-50,male,"20,001-50,000",kcse,cash_crop_farmer_commercial_fi,urban,yes,no,current_constitution_is_ok,no__against_it,william_ruto,raila_odinga,no,yes,yes,yes,governor,rarely,sometimes,sometimes,newspapers,yes,yes,"20,001-50,000"
87,uasin_gishu,25-30,female,"20,001-50,000",kcse,informal_employment__jua_kali_,rural,yes,yes,,yes__for_it,william_ruto,musalia_mudavadi,yes,a_little,yes,yes,governor,sometimes,sometimes,sometimes,tv,no,yes,"20,001-50,000"
88,uasin_gishu,25-30,female,"11,001-20,000",diploma,informal_employment__jua_kali_,peri_urban,yes,yes,,still_deciding,william_ruto,raila_odinga,thinking_about_it,a_little,yes,no,mp,sometimes,always,sometimes,radio,no,yes,"11,001-20,000"
89,migori,25-30,male,"0-11,000",kcse,informal_employment__jua_kali_,urban,yes,yes,,yes__for_it,raila_odinga,fred_matiangi,yes,a_little,no,yes,mp,always,never,always,radio,no,yes,"0-11,000"
90,uasin_gishu,31-35,male,"20,001-50,000",diploma,formal_employment__teacher_acc,peri_urban,yes,undecided,,still_deciding,william_ruto,raila_odinga,thinking_about_it,a_little,not_sure,yes,mcas,sometimes,sometimes,never,facebook,no,yes,"20,001-50,000"
91,uasin_gishu,51-60,female,"0-11,000",none,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,william_ruto,none,no,a_little,yes,no,church_leaders,sometimes,always,always,radio,no,yes,"0-11,000"
92,uasin_gishu,31-35,female,"11,001-20,000",diploma,formal_employment__teacher_acc,peri_urban,yes,undecided,,still_deciding,william_ruto,musalia_mudavadi,thinking_about_it,a_little,not_sure,yes,governor,sometimes,sometimes,sometimes,tv,no,yes,"11,001-20,000"
93,uasin_gishu,31-35,male,"0-11,000",undergraduate,hustler,rural,yes,no,the_referendum_is_too_close_to_2022,no__against_it,william_ruto,raila_odinga,no,a_little,yes,yes,governor,sometimes,sometimes,rarely,tv,no,yes,"0-11,000"
94,uasin_gishu,51-60,female,"11,001-20,000",certificate,business_owner__hotel_shop_kio,urban,yes,yes,,yes__for_it,raila_odinga,none,yes,yes,not_sure,yes,no_one,rarely,sometimes,sometimes,tv,no,yes,"11,001-20,000"
95,uasin_gishu,over-61,female,"0-11,000",none,subsistence_farmer_subsistence,peri_urban,no,no,i_do_not_understand_bbi,i_will_not_vote,raila_odinga,none,no,no,i_do_not_know_about_it,yes,church_leaders,rarely,sometimes,often,my_friends,no,undecided,"0-11,000"
96,uasin_gishu,31-35,female,"20,001-50,000",certificate,subsistence_farmer_subsistence,peri_urban,yes,undecided,,still_deciding,musalia_mudavadi,william_ruto,thinking_about_it,no,yes,yes,no_one,never,sometimes,rarely,tv,no,undecided,"20,001-50,000"
97,trans_nzoia,36-40,male,"0-11,000",kcpe,informal_employment__jua_kali_,urban,yes,undecided,,still_deciding,musalia_mudavadi,william_ruto,thinking_about_it,no,yes,yes,mp,never,rarely,sometimes,newspapers,no,yes,"0-11,000"
98,kirinyaga,36-40,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,rural,yes,undecided,,still_deciding,william_ruto,none,thinking_about_it,a_little,yes,yes,church_leaders,sometimes,often,often,tv,maybe,yes,"11,001-20,000"
99,uasin_gishu,18-24,male,"0-11,000",certificate,unemployed,urban,no,undecided,,still_deciding,raila_odinga,none,thinking_about_it,no,yes,yes,governor,sometimes,always,sometimes,tv,no,undecided,"0-11,000"
100,uasin_gishu,36-40,female,"11,001-20,000",kcpe,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,musalia_mudavadi,raila_odinga,thinking_about_it,no,yes,yes,governor,sometimes,sometimes,sometimes,tv,no,undecided,"11,001-20,000"
101,uasin_gishu,25-30,female,"20,001-50,000",undergraduate,formal_employment__teacher_acc,urban,no,no,the_referendum_will_cost_too_much,no__against_it,raila_odinga,musalia_mudavadi,no,a_little,yes,yes,mp,rarely,sometimes,sometimes,tv,no,response,"20,001-50,000"
102,uasin_gishu,25-30,male,"0-11,000",kcse,transport__matatu__lorry_boda_,urban,yes,undecided,,still_deciding,raila_odinga,none,thinking_about_it,a_little,yes,yes,mp,never,sometimes,often,tv,no,yes,"0-11,000"
103,kirinyaga,18-24,male,"0-11,000",diploma,hustler,rural,no,yes,,yes__for_it,william_ruto,none,yes,a_little,i_do_not_know_about_it,yes,no_one,always,always,never,tv,no,yes,"0-11,000"
104,kericho,over-61,male,"11,001-20,000",kcpe,business_owner__hotel_shop_kio,rural,yes,yes,,still_deciding,none,none,don_t_care,no,no,no_response,no_one,never,never,never,tv,no,yes,"11,001-20,000"
105,uasin_gishu,36-40,female,"11,001-20,000",kcse,business_owner__hotel_shop_kio,urban,yes,undecided,,still_deciding,william_ruto,none,no,a_little,yes,yes,church_leaders,rarely,often,sometimes,tv,no,yes,"11,001-20,000"
106,kisii,25-30,female,"0-11,000",kcse,business_owner__hotel_shop_kio,peri_urban,no,yes,,i_will_not_vote,raila_odinga,william_ruto,yes,no,no_response,yes,no_one,never,sometimes,sometimes,radio,no,yes,"0-11,000"
107,trans_nzoia,25-30,male,"0-11,000",kcse,informal_employment__jua_kali_,rural,yes,yes,,yes__for_it,william_ruto,william_ruto,yes,a_little,yes,no_response,mcas,never,often,always,facebook,no,yes,"0-11,000"
108,machakos,36-40,male,"0-11,000",kcse,subsistence_farmer_subsistence,rural,yes,undecided,,still_deciding,william_ruto,kalonzo_musyoka,thinking_about_it,a_little,yes,yes,elders,sometimes,sometimes,always,radio,no,response,"0-11,000"
109,machakos,18-24,female,"0-11,000",certificate,unemployed,rural,no,no,i_do_not_understand_bbi,still_deciding,none,none,thinking_about_it,no,no_response,yes,my_friends,rarely,sometimes,never,tv,no,response,"0-11,000"
110,trans_nzoia,25-30,male,"11,001-20,000",certificate,business_owner__hotel_shop_kio,peri_urban,yes,yes,,yes__for_it,raila_odinga,fred_matiangi,yes,yes,no,yes,my_friends,sometimes,always,always,radio,no,yes,"11,001-20,000"
111,trans_nzoia,unknown,male,"0-11,000",none,other,peri_urban,yes,undecided,,still_deciding,none,none,thinking_about_it,no,i_do_not_know_about_it,yes,church_leaders,never,always,always,radio,no,yes,"0-11,000"
112,trans_nzoia,41-50,female,"0-11,000",kcpe,business_owner__hotel_shop_kio,peri_urban,yes,undecided,,still_deciding,fred_matiangi,none,no,a_little,not_sure,yes,church_leaders,rarely,always,always,radio,maybe,yes,"0-11,000"
113,nairobi,18-24,male,"0-11,000",certificate,informal_employment__jua_kali_,urban,no,undecided,,still_deciding,raila_odinga,none,yes,yes,no,yes,my_friends,rarely,sometimes,often,tv,yes,yes,"0-11,000"
